truthful,our visit chicago chose the hyatt due it locat downtown within walk distanc most major attract such sear tower magnific mile grant millenium park etc subwai bu stop veri close travel other locat the citi overal the hotel wa veri nice clean and great locat wa safe area went beauti wriglei field and soldier field and saw both team plai love chicago and would defenit stai here again
truthful,stai the fairmont chicago for on night frequent busi travel and veri familiar with travel ritual check late almost due flight cancel from home airport atlanta took the shuttl the airport best option lieu the over price taxi and wa first time stai the hotel upon arriv immedi notic the entranc which appear veri welcom and warm check with problem and the desk person even ask prefer king doubl reconfirm reserv prefer alwai take the king when can and the bed wa fantast wa suit with great linen and these incred down feather pillow name encompass made the pillow factori check the tag sinc plan bui some at dinner the hotel restaur aria which thei mention thei like consid separ from the hotel and ye doe stand out all own the food asian fusion and truli wonder gourmand and life long foodi appreci great food when tast the hotel servic wa good well onli drawback wa the breakfast buffet the restaur seem thei need stick with their dinner theme sole thei miss the mark rel simpli thing like scrambl egg the buffet which tast bit metal but thei made for get special order made immedi after pass the buffet would highli recommend thi hotel ha atmospher and great view you can get room with on fabul dinner just pass the breakfast buffet
truthful,first trip chicago and wa litll worri about the hotel and the locat final decid the conrad and wath good experi had book king delux room the floor view wa not amaz but that wa the onli coplaint could had room nice bath wa all applianc and good size good plasma free internet ask on dai for breaksfast and amaz food overal and for the price aroufn wa great surpris the locat wa veri good few block from everyth and veri quiet hotel
truthful,arriv fridai and thei had room readi for mind you check not until got our room pricelin for per night and stai night were upgrad for free suit think wa blown awai that that forgot thank them check our room wa fantast also had wet bar and fridg the bathroom wa quit larg and had nice size closet with mani hanger knew from previou review not touch the mini bar the bed and pillow were veri comfort the room wa veri clean everi employe there went out their wai friendli and help stai the floor the east tower and had quiet room ye you could hear peopl the hallwai but onli becaus thei were rude and were yell these were not children thei were adult don know why everyon complain about for park thi chicago and everi other hotel saw charg just much some without out privledg didn us ani the restaur the health club tri eat the corner bakeri but wa too crowd breakfast nearbi houlihan had buffet for per person also the groceri store behind the hotel great there not too far awai don know why there ar mani bad review thi hotel ye big hotel you don want busi lobbi don stai plu room hotel love the hotel and would recommend anyon not on problem wasn too busi for would stai here again heartbeat
truthful,wife and came spend the weekend downtown chicago for shop and found thi conrad hotel well locat close everyth downtown and size that doesn make you feel lost the convent world have had thi feel when stai larger hotel the past our suit ha view michigan avenu with bit the lake the end staff wa veri profession pleasant and friendli make feel veri comfort internet free the room and make review from there
truthful,got sundai night stai for onli off pricelin com would hard complain but thi wa truli great hotel even paid doubl the first impress you get when you walk through the slide door the hyatt regenc chicago wow the lobbi beauti with upscal mall type look with open area that ha restaur plenti couch seat etc peopl watch and lake with water fountain you take the escal the concierg directori check area the hotel let check had check time suggest you call ahead like did thei know you ar come earli the women the desk wa friendli and when request higher level floor she wa more than happi look and even told have room the floor with veiw the river you can higher with view thought wa pretti nice give that inform that wouldnt get stuck with room with view wall the room ar big had doubl room the bed were beauti with great pillow blanket headboard etc ipod alarm clock wa nice centuri touch the room great plug your ipod listen some music and get readi for night out when relax after long dai tour chicago the view wa veri nice and the bathroom wa spotless and had great toiletri anoth great featur the concierg area comput that give you access print your board pass befor you get the airport you simpli look the screen click your airlin icon and follow the instruct had board pass about minut came handi when got ohar and wa abl skip long line frustrat passeng wa onli the hotel for dai but wa far on the better hotel experi have had and travel alot busi hotel but definit great choic for famili and coupl definit would stai here again when pass through chicago
truthful,thi superb hotel the room ar huge includ luxuri bathroom clean and servic first rate breakfast wa excel and complimentari for hilton honor member hotel good locat and connect mall which imagin would great asset the chicago winter next time chicago will stai here for sure
truthful,stai the conrad for night for friend reunion the room wa clean and new feel nice citi view free bottl water room upon arriv check wa breez and our room wa readi even though were sever hour earli all staff wa friendli and help excel breakfast
truthful,the conrad hotel beauti hotel our room wa perfect and beauti everi wai wa veri impress and hard pleas and have high standard wa clean aesthet pleas date just gorgeou would definit stai there again love the locat superb too attach nordstrom and northbridg mall can wait back
truthful,boyfriend and decid stai the conrad chicago for our anniversari the second walk were immedi won over the look and feel the room white luxur bed the king bed plasma subroof surround sound speaker boyfriend wa more impress than remind him that didn come chicago for the hotel room veri larg bathroom tub and separ stand shower granit countertop hi her robe and slipper the view wasn great but were the floor and not realli high enough see anyth but the side the build next not larg room ani mean but again didn the citi for the hotel room wa the prefect size for the amount time were actual the room got great rate hotel com but think the go rate usual closer mid stai quit few hotel the downtown area and none have ever impress more than thi on will definit stai there again our next trip into the citi
truthful,got good deal weekend pacag thi hotel and have sai the nicest stai have had more than dozen busi trip chicago all room ar suit staff friendli and profession restaur out thi world and all the extra like great health club turn down servic complimentari morn beverag deliv room and and room wa veri clean and everi need wa attend without feel intrud will defin stai here again
truthful,stai the fairmont for few night and found the whole experi excel wa given veri larg room with great view the citi the breakfast wa extrem good and the locat wa central could have wish for the pool wa not larg but felt luxuri and wa great for earli morn swim the even spent some time the hotel bar with friend and that wa excel too highli recommend base for explor chicago
truthful,went chicago see exhibit the art institut and select the fairmont becaus wa close although the lobbi still be renov our experi the hotel wa uniformli posit the room wa nice size and newli remodel and immacul the onli glitch involv get the room coffe replenish the maid doe not that and bedtim the first night still didn have coffe call the front desk and thei immedi deliv fresh suppli the restaur littl underwhelm but with mani other place within veri few block probabl wouldn have eaten there ani more than did after have stai close dozen differ chicago hotel thi mai the hotel return whenev return
truthful,actual book thi reserv with the hotel over the phone and got great rate much lower than the usual price wa love hotel beautifulli appoint walk distanc from the place want would highli recommend the fairmont
truthful,name price pricelin buck hotel room wa great clean clean and new fresh crisp sheet comfort bed flat screen clean carpet nice bath etc short distanc food and sightse highli recommend thi properti prepar pai over per night park hei it hyatt thei also charg for bottl water that normal buck for total nightli stai chicago thi place just don drink the bottl water happi travel
truthful,check wa fast the room wa perfect and there were problem thi standard big citi busi hotel with everi amen imagin got veri good deal for on night stai but thei made the monei back from the exorbit park rate and the absurd access fee for wireless internet you ar bore the routin hotel fare walk two block gourmet pantri michigan for refresh chang
truthful,arriv greet friendli doorman and zip the floor lobbi veri open lobbi area with friendli recept staff room wa the floor and veri nice everyth wa order and veri clean the king size bed wa nice and each night had rest sleep bathroom wa larg with separ glass shower stall the room wa furnish with everyth need includ internet hook access also you can walk thru the the westfield north bridg shop mall where you will enjoi nordstrom and other store cours you step from michigan av too the central locat the hotel wa great could walk most place the cta subwai stop grand av red line wa easi block walk will stai here again next trip chicago
truthful,simpli nice place stai had great deal for the room and wa impress with the qualiti hotel staff wa veri help thei were abl let check out and help print board pass neg frustrat that nowadai you not have free internet most hotel and the same here you have pai for the internet neg loud the phone you mai hear your neighbor the phone them shower
truthful,stai the conrad for onli on even but wa such amaz room would have like stai longer were the newli renov floor and the room wa gorgeou and super clean there wa flat screen bose sound system and even ihom for our ipod wireless wa free and thei bring you free bottl water turn down everyon wa veri help and friendli can wait back again
truthful,spent week thi hotel and were veri pleas with the experi describ previou review the room wa veri comfort with the huge televison and bathroom be particularli outstand servic wa excel overal especi like the bottl water bedsid with the turn down servic the door and bellmen women were particularli pleasant and help and the concierg wa friendli and knowledg had complet satisfactori though overpr drink the bar but didn eat the restaur the health club wa fine and the equip wa well maintain while there were onli three treadmil and two elipit stepper never had wait for machin although might differ stori the dead chicago winter on minor quibbl like have coffe first thing the morn and there wa room coffe maker the restaur offer free coffe but onli befor eight thi veri veri comfort attract hotel wonder locat chicago expens citi but felt that got reason valu for our monei
truthful,book room the hyatt through pricelin and wa abl get rate night can wrong with that the room ar nice spaciou clean and contain all the amenti travel would need have sai that have fallen love with the hyatt chain due their custom servic have stai few their hotel differ citi and the staff ha alwai been extrem friendli which you don often see other hotel us the self check machin and the custom servic person check make sure everyth wa go smoothli then when she saw that room wa not high level she offer have chang for that could have better view would highli recommend thi hotel
truthful,thi hotel the perfect locat for downtown chicago shop the onli thing the pool extrem small indoor but look much larger the websit
truthful,the omni fabul locat michigan avenu within just block ar all type store includ sak nordstrom filen basement maci perla appl bloomingd could and the room itself wa fabul comfort nice big flat screen tv nice size bathroom thei charg for but found click ye join their guest program could then from the sign screen right our email without actual complet the registr got thi hotel for night through pricelin and felt wa terrif deal
truthful,stai junior suit which wa beauti and spaciou had the largest flat screen have ever seen hotel great excus catch some movi the breakfast buffet wa great and wa serv the hotel huge atrium which wa nice the servic wa top notch stai lower floor the east tower which wa great there wa wait for elev and thei were alwai empti the shed aquarium wa complet wast time and monei but the field musium wa amaz chicago remain ti with london favourit citi
truthful,keep short wife daughter and stai thi hotel for night sever vacat year and thi wa great hotel locat locat the center the magnific mile michigan av near easili access everyth you might want hotel the hotel itself veri clean were the room maid servic wa excel includ daili clean and turndown servic think thei miss night servic everi staff member encount wa super friendli and kind thei alwai have someon the lobbi door greet you with smile everi night had milk and cooki wait our room sometim chocol our pillow thei alwai push the elev button for you thei were near there wa shortag peopl ask thing onli conplaint wa that the congierg wa tough get thei shouuld have more than on longer hour other had breakfast the restaur and wa veri good and well attend appoint thei even carri wife plate the tabl from the buffet the pool wa nice addit and hit with the kid wa nice for swim after long dai walk pool and chang area were spotless room clean sunni and spaciou probabl over tv couch desk chair all perfect shape the window open for some fresh air pillow were pretti comfort with all aspect consid think thi wa unbeat valu would not hesit stai again recommend friend truli have noth neg sai about the hotel wa wonder stai and will miss be there omni ha hit the right formula make guest feel like welcom person oppos just nuisanc number the airlin have corner the market that
truthful,husband and were the fairmont chicago recent for confer stai spaciou suit all amen appear recent updat and excel shape the bed wa veri comfort view were great love their product the bathroom and us them the pristin tub two out three night the room wa quiet wa veri relax at the restaur downstair aria and although pricei wa excel the staff were consist attent and respons evid that everyon veri well train would love stai here again
truthful,stai the fairmont dure profession confer while have sai that for confer some the meet room were too small term travel comfort the hotel except can think singl thing about room that wasn perfect the accommod were luxuri and the hotel conveni situat within walk distanc mani chicago attract
truthful,great hotel wonder locat stai thi hotel last weekend for on night befor come home and love couldn recommend highli enough evid popular and busi the staff were still help the room were love and spaciou and clean bathroom were clean bright and spaciou also definit recommend thi hotel too close the magnific mile
truthful,have just return from night the conrad chicago everth about the hotel wa excel wonder room and servic from all the staff wa first class great view from our room the hotel locat great right the centr the magnific mile wonder stai amaz citi wa made perfect our stai the conrad
truthful,nestl just off the beaten path and about two block from the river the fairmont chicago offer excel locat oper home base for your trip chicago the staff were friendli and help arrang mani the sightse event enjoi while the citi there ar mani attract withiin easi walk distanc the art institut must see and millenium park fun visit the architectur tour river depart dock that veri close the fairmont and there ar lot restaur nearbi the room were excel and the club room worth the extra expens would definit stai here again
truthful,stai the omni with band that what town the room wa amaz just walk the hotel wa gorgeou have complaint prompt room servic friendli front desk mani shop beauti fountin just all around great hotel great citi
truthful,great locat and qualiti place stai love larg clean room with queen size bed wa great staff were veri help and put onto some great restaur and then some music bar coleman the front desk wa great gui meet first impress sold the hotel with hi person the hotel deliv anniversari cake our room compliment the hotel for thi show that thei care about their guest mani thank all wa great place stai
truthful,paid night through pricelin which excel for june our room had fantast view the hancock build and the river the room wa larg clean and had couch easi chair and desk chair the bed wa the newer non bedspread style the bed wa comfort the bathroom wa larg and well were pleas with the room and the hyatt everi wai at the lobbi restaur which attract decor and wa bustl with activ when were there onli got cobb salad don know the food gener good not the cobb wa our onli complaint wa the fee park your car over night and the daili fee for the internet mani place ar offer free internet these dai and wish the hyatt would hop board with thi concept hate leav
truthful,book our room pricelin and got good deal around per night stai for the first night our trip didnt us too mani the hotel facil the hotel central locat just over the chicago river from the shop north michigan avenu and around mile from navi pier our room wa clean and comfort and the floor had good view the citi and could just about see lake michigan though the weather wa veri bad the layout the room littl peculiar with the bed face awai from the window but over all have complaint about thi hotel and unlik some other review were not disturb all nois from other guest pro and con pro help and friendli staff clean and comfort throughout spaciou room larg and airi public area starbuck and gift shop lobbi con larg hotel long walk from the elev the front desk lobbi area
truthful,husband and decid take trip chicago the last minut and quickli chose the conrad not realli know locat were pleasantli surpris find wa almost right michigan av connect nordstrom right the heart downtown great for shop the hotel itself wa fabul the staff wa extrem help give suggest for show and restaur recommend go joe that right across the street from the hotel everyon wa rave about but couldn get reserv the room wa wonder and the bed and pillow were veri comfort had veri warm and invit atmospher husband love the workout room highli recommend the conrad
truthful,staff were friendli room wa well kept like typic hyatt locat hotel huge with two build and over room good locat close michigan av and the subwai park dai ouch bid pricelin for
truthful,stai the fairmont attend confer wa veri pleas with the hotel the doorman offer umbrella head out for walk and sure enough start rain veri soon after would have been soak with upon return the doorman then ask about walk etc thi reflect all the staff encount the front desk promptli check definit regist for their reward program befor you arriv the complimentari gym access excel plu you save internet access fee which ar waiv for member the bathroom and separ dress area were larg and conveni the onli neg coffe maker and the starbuck the adjac build close weekend sinc the area corpor offic ar close those dai otherwis stai wa perfect consid the confer rate wa per night
truthful,stai here for busi and love got for inc tax pricelin incred deal for thi hotel wasn pricelin would expect pai per night mayb more for thi locat level servic the heart downtown chicago walkabl mani locat the lobbi veri impress the room wa veri nice complaint all from check check out wa alon didn the bar but look like peopl were realli enjoi themselv wa full peopl all the time want stai here when come back with husband for fun weekend the citi
truthful,just back from night stai omni and would thoroughli recommend staff bent over backward assist anyth matter how minut great locat magnific mile and lot there both for adult and daughter had find fault would the extra charg tax etc for room servic bar and restaur but where cheap these dai would definit recommend especi for famili
truthful,for the price the marriott spent night here tax and had enjoy brief stai other have note the hotel ha been recent renov and the room ar furnish with attract and sleek scandanavian type design the staff wa polit and attent and seem match the redesign with hip kind feel the park pricei us adjac lot and self park and other have note the lack water pressu the shower wa disappoint good locat would return esp thi pricepoint
truthful,the concierg wa help without hesit thei had the best recommend for restaur and attract all turn out wonder thei even gave busi card for restaur that did not take reserv could obtain preferenti immedi seat love the health club the back the hotel join the presid club onli cost ten dollar dai us the facil the room were larg updat and had view look out direct the coffe maker the room wa except locat great for get mostli anywher park overpr took our cart the underground millennium garag that wa onli per hour and few block walk from the hotel
truthful,got great deal thi hotel just found through travelzoo onli stai on night but were veri impress the sevic wa fantast from the moment step the properti the hotel smell wonder and wa immacul our room while not enorm wa perfect had great view the citi and lake the bed wa extrem comfort never heard ani nois outsid our room the bathroom wa nice size consid must have had on the smaller room the hotel two could get readi veri comfort locat wa perfect just off michigan av and step awai from millenium park would definetli stai here again especi could get thi great deal
truthful,got thi hotel chanc sinc decid the spur the moment spend nite chicago went thru pricelin and wa lucki get room thi hotel for onli normal rate wa around the room wa superb the floor with nice king bed hotel onli about block michigan av the locat veri conveni park veri expens nite but park right next door selfpark for just decid have breakfast the hotel restaur save from walk elsewher order the buckwheat pan cake and egg benedict thei were absolut delici which stun sinc didn expect thi type experi from hotel restaur especi for breakfast glad didn pick their breakfast buffet sinc the special menu much better highli recommend thi beauti and cozi hotel for your chicago visit
truthful,just return from our first trip chicago and stai the omni read mani review trip advisor and pick the omni base it wonder review and thei were right the locat staff room amen etc were all wonder huge thank you member who suggest sign for the prefer member program did that befor left and receiv complimentari beverag the morn and newspap among other perk love be woken fresh orang juic and the chicago tribun newspap were room which wa perfect corner suit with two out the side the room be window with great view the room wa huge with gorgeou king bed and great live area with plasma the bathroom amen were wonder love soak the tub with the miner salt that were provid the turn down servic wa great well would come back our room with relax music plai and our bed readi for at their restaur twice and the breakfast buffet wa delici the blueberri muffin were the best have ever had everyth wa fresh and prepar perfectli the staff the omni accomod everyon alwai smile and ask you how your stai have thank the concierg melissa and curti thei were both help with great dine suggest and map for everyth want also us the gym dure stai and wa great all the machin were top notch and each treadmil ha lcd attach and the gym itself had two plasma thei also had cold lemon water for you after your workout stickler for cleanli and wa sparkl everi morn realli wa fantast stai the omni and would never stai anywher els also want mention never heard ani construct while were there everyth wa quiet and both slept wonderfulli the big comfi bed thank you trip advisor for anoth great trip suggest
truthful,stai thi hotel time year busi and love the staff ar great the room ar spaciou and clean and the locat perfect for shop and dine michigan av plu you sign for omni select membership for free you get free wireless internet access
truthful,usual stai the sofitel but thought would try the conrad for chang don think would rate thi hotel over the sofitel but wa still class but think the servic wa better the conrad arriv the hotel just befor the restaur close and soon were the onli tabl left normal servic goe down hill then but our waiter eric wa the best even when kept order after dinner port the meal mai not have been the chop hous but wa still veri good the bar wa crown reserv thei did have the cask drink ouch the room servic wa veri quick our room wa veri clean and the maid replac everyth includ the ashtrai dure their visit the onli fault could find wa the temperatur the floor wa hot that had our window open the whole time with the heat turn complet off which wasn bad sinc wife smoke the temp the where the lobbi bar and restaur wa fine enjoi the hotel enough that will back sept on last thing you like cheap fantast breakfast the west egg onli few block awai
truthful,stai the omni between christma and new year just get awai for few dai found through web deal and got penthous suit veri cheap thi year check onlin just dai after christma and the deal wa there again also includ park the great price huge suit overlook downtown chicago best locat walk everywher and old love swim night and the chocol cooki their pillow can wait back
truthful,stai here for night for bridgeston fireston convent complaint room wa great with beauti view staff wa veri accommod had drink and appet main bar fantast great locat ye huge hotel us for convent but that didn stop from be great place
truthful,just left the conrad chicago and have noth but good thing sai us hilton point stai there but paid night upgrad junior suit were room would reccomend peopl ask for odd number room that thei will have view look north michigan av our room wa veri modern with larg flat panel and bose speaker sound system big window that actual open the bed line were veri nice the towel were the room wa clean and the bath room had seper shower and tub marbl everywher robe slipper etc the work out room wa good with differ machin and some free weight there ar clean towel the workout room too never at the hotel can comment the food the price there starbuck across the street michigan and espresso bar attach the nordstrom that the ground floor the hotel wa veri nice have the littl mall right under the hotel the locat the hotel could not better were walk distanc everyth everi kind shop din experi you could possibl want wa within mile over all the hotel had boutiqu feel even though part the hilton chain
truthful,friend and stai for just on night and love the hotel had awesom water featur the hotel and great larg bar like all hyatt had veri comfort bed lot pillow and larg bathroom
truthful,thi great properti excel locat and wonder staff everyon wa veri accommod and polit the room had wa the floor and wa like suit with live area and bedroom the live room wa spaciou with plasma desk and couch the bed were veri comfort and the toiletri veri good qualiti the close thei place umbrella which came handi rain the whole time wa chicago the internet connect hr great place will return for sure
truthful,great hotel heart chicago for busi pleasur room ar recent upgrad and veri modern and larg flat screen tv marbl bath all room ar suit great desk kitchenett comfort bed free wireless internet everyth you could ask for locat easi walk magnifici mile and lot great restaur staff friendli and help short cab ride loop
truthful,recent stai the fairmont chicago and found fantast hotel staff wa alwai courteou and help from the front desk staff check wait staff aria restaur the maid who clean room the room were recent updat with larg flat screen beauti linen and except toiletri each room room even had view monro harbor truli first rate hotel locat south the river and east michigan av normal stai north the river seem littl out the wai that possibl downtown chicago howev it locat significantli lower street nois the hotel ha excel access millennium park the aon center there connect concours and about block from shop north michigan av at dinner aria and wa fantast room servic for breakfast wa quit good well overal stai again minut had busi the loop leisur plan millennium grant park
truthful,stai omni chicago for night earli juli juli the reason chose thi hotel wa simpli becaus great deal got travelzoo got pretti good rate that includ valet park and voucher for food beverag also sign for their loyalti program which wa worth wa concern first that would treat like second class guest becaus the price paid but wa total wrong thei treat extrem well befor our arriv got email ask need anyth ask for fridg store the babi milk and thei arrang for without charg arriv late thursdai night our room wa readi for upon our arriv with the fridg request were given corner suit the floor veri nice room comfi bed husband wa realli wowwwww the bed wa made readi for both the bedroom and the sofa bed didn us the sofa bed though got high speed internet part the loyalti program all staff were friendli and help front desk valet park bell boi room servic concierg everyon us the voucher for room servic breakfast both morn the first dai wa great food wa great and quick also got complimentari beverag part the loyalti program order and hot chocol thei both were good that order them again the next morn but were veri disappoint that the hot chocol tast pretti horribl tast like left over coffe mix with water and bit chocol also order belgian waffl for our breakfast which wa suppos come with whip cream and strawberri but got plain waffl had call the restaur and wait for while get those thi why didn give for servic howev report these issu the front desk when check out and the front desk staff took care not charg for that meal anoth thing that quit noisi night even though were the high floor could hear siren go off dure the night but thi out the hotel control though and would sai that didn bother all babi could sleep veri well overal realli enjoi our stai and would definit consid omni for our next trip chicago
truthful,wife and travel chicago and realli were treat like royalti the hotel staff brother and hi wife also stai dure thi period the front desk staff the concierg the star buck server the restaur the loung server all were wonder the room were spaciou and the flat screen wa realli great the bath room wa real plu wa huge and had everyth on desir great view from floor michigan avenu below overal great stai and highli recommend
truthful,thi wa weekend trip for friend and book coupl room and ask advanc for the reserv connect some wai our room were right next on anoth request wa almost everyon first time chicago had bit cold search for hotel and our choic wa next perfect had amaz time dure first visit chicago and wa larg due thi hotel the custom servic wa amaz everyon wa extrem nice and help on our room order late night room servic and rave about how thei felt thei had order star lunch becaus wa fresh have order food and delici friend suggest thei had full staff becaus the food came quickli too anoth our room housekeep had accident discard when replac the player with ipod dock the concierg had the exact purchas and readi check out from the neighbor record store our rate includ complimentari breakfast which wa fantast everyth wa freshli made their kitchen too ad bonu wa that the hotel attach mall therefor you don need leav the build get pair shoe coffe some other type trinket wa beyond pleas with thi hotel and would stai here again without hesit
truthful,wife and stai thi hotel the end mai she came for the weekend for function and extend the trip take the citi got deal thi hotel through travelzoo night stai for night plu got the full buffet breakfast the room wa wonder extrem larg king size bed with expans sit area ar us smaller hotel with littl room move the bed wa extrem comfort with lot pillow wear damag room all except sink tap drip bit poor tap could have upgrad river view for night but chose not enjoi the room for what wa floor look south the buffet breakfast wa great lot choos from and veri fresh with made order egg non stop coffe and juic and the server were eager pleas great have breakfast includ night stai might bit dear pai person wa nice sit and relax with good breakfast coffe and newspap and not have figur where catch morn meal concierg desk wa most help suggest place eat alwai inform and readi provid map direct multipl suggest and even make the reserv card includ admit without pai cover charg some jazz club locat wa great block from and other transport and easi walk distanc the park and right the river chicago again would not hesit stai here again swim pool would have been nice but did not miss
truthful,recent complet our second stai the fairmont chicago the check process wa quick and painless but the front desk staff wa almost disinterest the whole procedur that fine when travel busi but leisur trip would appreci warmer greet the hotel wa host convent the same time our stai but other than see some signag attende the lobbi wouldn have notic thi probabl due the separ the confer area from the guest room and the speedi elev stai parkview suit had larg room with great view millenium park the anteroom wa well appoint with sofa coffe tabl desk mini bar with sink and coffe maker and dine area the bedroom appear the same standard fairmont room but mayb slightli larger the bathroom also appear similar standard fairmont room and onc again possibl slightli larger the upscal modern decor pleas but not overtli luxuri and sever small touch such shoe shine station with extra collar tab ar pepper throughout book few even activ through the concierg and everyth wa perfectli handl the hotel restaur aria couldn find our reserv but thei oddli new name and rememb that the hotel had call make reserv for thei had problem seat and the dinner both food and servic wa love minor complaint the pillow could better not sure thei rememb our prefer for non down bed from our last visit but serious these thing bare felt like pillow suffer through some congest can get better neck support also the valet park attend seem overli eager take your car and charg you and mention abov the front desk experi could improv best featur after our first stai gave brief review the comment section the fairmont presid club membership free websit receiv phone call from the director room the same dai ask discuss our experi after thi stai left comment essenti thank the hotel staff for great stai but still receiv warm friendli phone call from the director room ask could anyth improv our next stai kudo the fairmont for take it custom serious and for that thei won loyalti
truthful,husband and stai here for new year ev weekend thi excel hotel excel locat hotel veri tastefulli decor and warmli welcom the room had the best electron ever seen love that thei had soak tub and spaciou shower stall the hotel restaur seem empti everytim walk avoid too at joe across the street excel seafood and you can shop til you drop without go outsid nordstrom and four stori mall attach lot good food the run place there love chicago love the conrad will back
truthful,vacat the fairmont chicago for night juli the room the bathroom the view and the staff were all wonder just wish the hotel were few block north av sometim when you tire that extra coupl block seem like mile
truthful,thi second time here two month both stai were great the room ar veri nice and veri clean the staff terrif and alwai attent onli concern would there never seem anyon the concierg desk
truthful,wife and stai here the middl februari took the subwai the hotel from hare wa veri conveni the lobbi wa nice and the room wa clean and comfort stai mani hotel room thi bed wa the most comfort ever slept the hotel locat great area and close everyth walk distanc almost all the interest site chicago ha would definetli recommend thi hotel anyon visit thi great citi
truthful,have stai sever high end place chicago and thi still our favorit locat superb staff ar particularli graciou and welcom without be cloi cornel the front desk unfailingli help the concierg love the extra room that suit provid and you join the frequent guest program high speed internet grati breakfast beverag deliv along with the newspap each morn the time your choos bed excel qualiti and thei offer truli amaz blackout curtain have never had bad stai thi hotel
truthful,stai the fairmont two night for the sofa art fair the navi pier wa impress that the bellman call name when met the taxi and pronounc correctli which quit unusu everyon smile and welcom the lobbi look clean and friendli not ultramodern but not all tire worn our room also clean and comfort furnish wa larger than expect with clean modern bath and love view the navi pier and the lake did not eat the restaur but look attract our onli problem wa that had ask for non feather pillow upon reserv the room upon check and call housekeep after wait hour went bed the next dai the check desk person wa extrem apologet and the time return all the feather were replac with foam and non allergen materi the hotel conveni millenium park and michigan av would stai there again assum could get good rate
